ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs27-056-14,140140,8/20/2015,81,66.35460523,-36.93840594,0,9,,9,"2,10,14,20,26,30,36,40,50","-0.835,-0.825,-0.419,0.189,0.620,0.724,0.874,0.945,1.085",,,"2,10,14,20,26,30,36,40,50","21.716,29.642,30.235,31.234,31.595,31.781,32.060,32.234,32.652",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","21.716,29.642,30.235,31.234,31.595,31.781,32.060,32.234,32.652"
rs27-056-14,140140,8/21/2015,56,66.35784486,-36.9111391,0,9,,9,"2,10,14,20,26,30,36,40,50","-0.792,-0.709,-0.371,0.128,0.622,0.823,0.913,0.963,1.157",,,"2,10,14,20,26,30,36,40,50","22.134,29.660,30.285,31.137,31.557,31.892,32.150,32.280,32.743",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","22.134,29.660,30.285,31.137,31.557,31.892,32.150,32.280,32.743"
rs27-056-14,140140,8/21/2015,22,66.35989926,-36.89384793,0,15,,15,"2,3,4,6,7,9,10,12,14,16,17,18,20,21,22","-0.862,-0.953,-1.019,-1.019,-0.980,-0.808,-0.741,-0.529,-0.358,-0.216,-0.107,-0.056,0.153,0.358,0.449",,,"2,3,4,6,7,9,10,12,14,16,17,18,20,21,22","22.662,26.200,28.278,29.145,29.313,29.631,29.834,30.250,30.498,30.772,30.949,31.020,31.223,31.400,31.471",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.662,26.200,28.278,29.145,29.313,29.631,29.834,30.250,30.498,30.772,30.949,31.020,31.223,31.400,31.471"
rs27-056-14,140140,8/21/2015,115,66.37785014,-36.86011816,0,9,,9,"2,10,20,30,40,50,60,75,100","-0.602,-0.565,0.187,0.797,1.017,1.124,1.143,0.528,1.556",,,"2,10,20,30,40,50,60,75,100","23.558,29.850,31.083,31.911,32.426,32.739,32.981,33.143,33.537",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","23.558,29.850,31.083,31.911,32.426,32.739,32.981,33.143,33.537"
rs27-056-14,140140,8/21/2015,67,66.383824,-36.84911369,0,17,,17,"2,4,6,10,11,13,14,20,24,26,30,36,40,50,61,65,67","-0.520,-0.839,-0.839,-0.570,-0.518,-0.245,-0.195,0.161,0.591,0.630,0.842,0.939,1.017,0.997,1.181,1.088,0.862",,,"2,4,6,10,11,13,14,20,24,26,30,36,40,50,61,65,67","22.284,28.043,29.094,29.802,29.973,30.434,30.520,31.153,31.442,31.700,31.871,32.247,32.418,32.708,32.965,33.008,32.965",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","22.284,28.043,29.094,29.802,29.973,30.434,30.520,31.153,31.442,31.700,31.871,32.247,32.418,32.708,32.965,33.008,32.965"
rs27-056-14,140140,8/23/2015,67,66.36224179,-36.89534034,0,9,,9,"2,10,14,20,26,30,36,40,50","-0.604,-0.960,-0.734,-0.177,0.083,0.470,0.848,0.914,1.034",,,"2,10,14,20,26,30,36,40,50","20.452,29.224,29.669,30.387,31.018,31.414,31.748,31.896,32.379",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","20.452,29.224,29.669,30.387,31.018,31.414,31.748,31.896,32.379"
rs27-056-14,140140,8/23/2015,101,66.3849603,-36.85580912,0,17,,17,"2,6,10,12,18,20,27,30,40,50,60,75,86,93,95,100,101","-0.656,-0.887,-0.806,-0.437,0.106,0.169,0.418,0.683,0.942,1.009,1.139,0.876,0.503,0.499,0.693,0.718,0.748",,,"2,6,10,12,18,20,27,30,40,50,60,75,86,93,95,100,101","21.028,28.753,29.475,29.708,30.724,30.956,31.348,31.581,32.058,32.401,32.597,32.927,33.025,33.123,33.123,33.221,33.270",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","21.028,28.753,29.475,29.708,30.724,30.956,31.348,31.581,32.058,32.401,32.597,32.927,33.025,33.123,33.123,33.221,33.270"
rs27-056-14,140140,8/24/2015,30,66.37013585,-36.91871021,0,9,,9,"2,10,12,14,16,18,20,22,24","-0.699,-0.826,-0.643,-0.506,-0.321,-0.104,0.055,0.157,0.401",,,"2,10,12,14,16,18,20,22,24","21.462,29.333,29.792,29.989,30.354,30.687,30.843,31.176,31.374",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","21.462,29.333,29.792,29.989,30.354,30.687,30.843,31.176,31.374"
rs27-056-14,140140,8/24/2015,130,66.33765971,-36.94085872,0,9,,9,"2,10,20,30,40,50,60,75,100","-0.479,-0.744,0.218,0.894,1.011,1.111,0.719,0.784,1.501",,,"2,10,20,30,40,50,60,75,100","21.780,29.626,31.081,31.832,32.440,32.714,32.857,33.096,33.513",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","21.780,29.626,31.081,31.832,32.440,32.714,32.857,33.096,33.513"
rs27-056-14,140140,8/24/2015,100,66.33063025,-36.94454982,0,9,,9,"2,10,14,20,26,30,36,40,50","-0.544,-0.664,0.199,0.842,1.016,1.014,0.817,0.631,1.433",,,"2,10,14,20,26,30,36,40,50","22.290,29.540,30.990,31.994,32.429,32.697,33.176,32.909,33.444",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","22.290,29.540,30.990,31.994,32.429,32.697,33.176,32.909,33.444"
